stateA,stateB,year,weight_atop,weight_arms,final_security_weight
2.0,20.0,1945.0,1.0,0.0,1.0
2.0,40.0,1945.0,1.0,0.0,1.0
2.0,41.0,1945.0,1.0,0.0,1.0
2.0,42.0,1945.0,1.0,0.0,1.0
2.0,70.0,1945.0,1.0,0.0,1.0
2.0,90.0,1945.0,1.0,0.0,1.0
2.0,91.0,1945.0,1.0,0.0,1.0
2.0,92.0,1945.0,1.0,0.0,1.0
2.0,93.0,1945.0,1.0,0.0,1.0
2.0,94.0,1945.0,1.0,0.0,1.0
2.0,95.0,1945.0,1.0,0.0,1.0
2.0,100.0,1945.0,1.0,0.0,1.0
2.0,101.0,1945.0,1.0,0.0,1.0
2.0,130.0,1945.0,1.0,0.0,1.0
2.0,135.0,1945.0,1.0,0.0,1.0
2.0,140.0,1945.0,1.0,0.0,1.0
2.0,145.0,1945.0,1.0,0.0,1.0
2.0,150.0,1945.0,1.0,0.0,1.0
2.0,155.0,1945.0,1.0,0.0,1.0
2.0,160.0,1945.0,1.0,0.0,1.0
2.0,165.0,1945.0,1.0,0.0,1.0
2.0,200.0,1945.0,1.0,0.0,1.0
2.0,210.0,1945.0,1.0,0.0,1.0
2.0,211.0,1945.0,1.0,0.0,1.0
2.0,212.0,1945.0,1.0,0.0,1.0
2.0,220.0,1945.0,1.0,0.0,1.0
2.0,235.0,1945.0,1.0,0.0,1.0
2.0,290.0,1945.0,1.0,0.0,1.0
2.0,315.0,1945.0,1.0,0.0,1.0
2.0,345.0,1945.0,1.0,0.0,1.0
2.0,350.0,1945.0,1.0,0.0,1.0
2.0,365.0,1945.0,1.0,0.0,1.0
2.0,385.0,1945.0,1.0,0.0,1.0
2.0,450.0,1945.0,1.0,0.0,1.0
2.0,530.0,1945.0,1.0,0.0,1.0
2.0,560.0,1945.0,1.0,0.0,1.0
2.0,630.0,1945.0,1.0,0.0,1.0
2.0,640.0,1945.0,1.0,0.0,1.0
2.0,645.0,1945.0,1.0,0.0,1.0
2.0,651.0,1945.0,1.0,0.0,1.0
2.0,670.0,1945.0,1.0,0.0,1.0
2.0,710.0,1945.0,1.0,0.0,1.0
2.0,900.0,1945.0,1.0,0.0,1.0
2.0,920.0,1945.0,1.0,0.0,1.0
20.0,2.0,1945.0,1.0,0.0,1.0
20.0,40.0,1945.0,1.0,0.0,1.0
20.0,41.0,1945.0,1.0,0.0,1.0
20.0,42.0,1945.0,1.0,0.0,1.0
20.0,70.0,1945.0,1.0,0.0,1.0
20.0,90.0,1945.0,1.0,0.0,1.0
20.0,91.0,1945.0,1.0,0.0,1.0
20.0,92.0,1945.0,1.0,0.0,1.0
20.0,93.0,1945.0,1.0,0.0,1.0
20.0,94.0,1945.0,1.0,0.0,1.0
20.0,95.0,1945.0,1.0,0.0,1.0
20.0,100.0,1945.0,1.0,0.0,1.0
20.0,101.0,1945.0,1.0,0.0,1.0
20.0,130.0,1945.0,1.0,0.0,1.0
20.0,135.0,1945.0,1.0,0.0,1.0
20.0,140.0,1945.0,1.0,0.0,1.0
20.0,145.0,1945.0,1.0,0.0,1.0
20.0,150.0,1945.0,1.0,0.0,1.0
20.0,155.0,1945.0,1.0,0.0,1.0
20.0,165.0,1945.0,1.0,0.0,1.0
20.0,200.0,1945.0,1.0,0.0,1.0
20.0,210.0,1945.0,1.0,0.0,1.0
20.0,211.0,1945.0,1.0,0.0,1.0
20.0,212.0,1945.0,1.0,0.0,1.0
20.0,220.0,1945.0,1.0,0.0,1.0
20.0,290.0,1945.0,1.0,0.0,1.0
20.0,315.0,1945.0,1.0,0.0,1.0
20.0,345.0,1945.0,1.0,0.0,1.0
20.0,350.0,1945.0,1.0,0.0,1.0
20.0,365.0,1945.0,1.0,0.0,1.0
20.0,385.0,1945.0,1.0,0.0,1.0
20.0,450.0,1945.0,1.0,0.0,1.0
20.0,530.0,1945.0,1.0,0.0,1.0
20.0,560.0,1945.0,1.0,0.0,1.0
20.0,630.0,1945.0,1.0,0.0,1.0
20.0,640.0,1945.0,1.0,0.0,1.0
20.0,645.0,1945.0,1.0,0.0,1.0
20.0,651.0,1945.0,1.0,0.0,1.0
20.0,670.0,1945.0,1.0,0.0,1.0
20.0,710.0,1945.0,1.0,0.0,1.0
20.0,900.0,1945.0,1.0,0.0,1.0
20.0,920.0,1945.0,1.0,0.0,1.0
40.0,2.0,1945.0,1.0,0.0,1.0
40.0,20.0,1945.0,1.0,0.0,1.0
40.0,41.0,1945.0,1.0,0.0,1.0
40.0,42.0,1945.0,1.0,0.0,1.0
40.0,70.0,1945.0,1.0,0.0,1.0
40.0,90.0,1945.0,1.0,0.0,1.0
40.0,91.0,1945.0,1.0,0.0,1.0
40.0,92.0,1945.0,1.0,0.0,1.0
40.0,93.0,1945.0,1.0,0.0,1.0
40.0,94.0,1945.0,1.0,0.0,1.0
40.0,95.0,1945.0,1.0,0.0,1.0
40.0,100.0,1945.0,1.0,0.0,1.0
40.0,101.0,1945.0,1.0,0.0,1.0
40.0,130.0,1945.0,1.0,0.0,1.0
40.0,135.0,1945.0,1.0,0.0,1.0
40.0,140.0,1945.0,1.0,0.0,1.0
40.0,145.0,1945.0,1.0,0.0,1.0
40.0,150.0,1945.0,1.0,0.0,1.0
40.0,155.0,1945.0,1.0,0.0,1.0
40.0,160.0,1945.0,1.0,0.0,1.0
40.0,165.0,1945.0,1.0,0.0,1.0
40.0,200.0,1945.0,1.0,0.0,1.0
40.0,210.0,1945.0,1.0,0.0,1.0
40.0,211.0,1945.0,1.0,0.0,1.0
40.0,212.0,1945.0,1.0,0.0,1.0
40.0,220.0,1945.0,1.0,0.0,1.0
40.0,290.0,1945.0,1.0,0.0,1.0
40.0,315.0,1945.0,1.0,0.0,1.0
40.0,345.0,1945.0,1.0,0.0,1.0
40.0,350.0,1945.0,1.0,0.0,1.0
40.0,365.0,1945.0,1.0,0.0,1.0
40.0,385.0,1945.0,1.0,0.0,1.0
40.0,450.0,1945.0,1.0,0.0,1.0
40.0,530.0,1945.0,1.0,0.0,1.0
40.0,560.0,1945.0,1.0,0.0,1.0
40.0,630.0,1945.0,1.0,0.0,1.0
40.0,640.0,1945.0,1.0,0.0,1.0
40.0,645.0,1945.0,1.0,0.0,1.0
40.0,651.0,1945.0,1.0,0.0,1.0
40.0,670.0,1945.0,1.0,0.0,1.0
40.0,710.0,1945.0,1.0,0.0,1.0
40.0,900.0,1945.0,1.0,0.0,1.0
40.0,920.0,1945.0,1.0,0.0,1.0
41.0,2.0,1945.0,1.0,0.0,1.0
41.0,20.0,1945.0,1.0,0.0,1.0
41.0,40.0,1945.0,1.0,0.0,1.0
41.0,42.0,1945.0,1.0,0.0,1.0
41.0,70.0,1945.0,1.0,0.0,1.0
41.0,90.0,1945.0,1.0,0.0,1.0
41.0,91.0,1945.0,1.0,0.0,1.0
41.0,92.0,1945.0,1.0,0.0,1.0
41.0,93.0,1945.0,1.0,0.0,1.0
41.0,94.0,1945.0,1.0,0.0,1.0
41.0,95.0,1945.0,1.0,0.0,1.0
41.0,100.0,1945.0,1.0,0.0,1.0
41.0,101.0,1945.0,1.0,0.0,1.0
41.0,130.0,1945.0,1.0,0.0,1.0
41.0,135.0,1945.0,1.0,0.0,1.0
41.0,140.0,1945.0,1.0,0.0,1.0
41.0,145.0,1945.0,1.0,0.0,1.0
41.0,150.0,1945.0,1.0,0.0,1.0
41.0,155.0,1945.0,1.0,0.0,1.0
41.0,160.0,1945.0,1.0,0.0,1.0
41.0,165.0,1945.0,1.0,0.0,1.0
41.0,200.0,1945.0,1.0,0.0,1.0
41.0,210.0,1945.0,1.0,0.0,1.0
41.0,211.0,1945.0,1.0,0.0,1.0
41.0,212.0,1945.0,1.0,0.0,1.0
41.0,220.0,1945.0,1.0,0.0,1.0
41.0,290.0,1945.0,1.0,0.0,1.0
41.0,315.0,1945.0,1.0,0.0,1.0
41.0,345.0,1945.0,1.0,0.0,1.0
41.0,350.0,1945.0,1.0,0.0,1.0
41.0,365.0,1945.0,1.0,0.0,1.0
41.0,385.0,1945.0,1.0,0.0,1.0
41.0,450.0,1945.0,1.0,0.0,1.0
41.0,530.0,1945.0,1.0,0.0,1.0
41.0,560.0,1945.0,1.0,0.0,1.0
41.0,630.0,1945.0,1.0,0.0,1.0
41.0,640.0,1945.0,1.0,0.0,1.0
41.0,645.0,1945.0,1.0,0.0,1.0
41.0,651.0,1945.0,1.0,0.0,1.0
41.0,670.0,1945.0,1.0,0.0,1.0
41.0,710.0,1945.0,1.0,0.0,1.0
41.0,900.0,1945.0,1.0,0.0,1.0
41.0,920.0,1945.0,1.0,0.0,1.0
42.0,2.0,1945.0,1.0,0.0,1.0
42.0,20.0,1945.0,1.0,0.0,1.0
42.0,40.0,1945.0,1.0,0.0,1.0
42.0,41.0,1945.0,1.0,0.0,1.0
42.0,70.0,1945.0,1.0,0.0,1.0
42.0,90.0,1945.0,1.0,0.0,1.0
42.0,91.0,1945.0,1.0,0.0,1.0
42.0,92.0,1945.0,1.0,0.0,1.0
42.0,93.0,1945.0,1.0,0.0,1.0
42.0,94.0,1945.0,1.0,0.0,1.0
42.0,95.0,1945.0,1.0,0.0,1.0
42.0,100.0,1945.0,1.0,0.0,1.0
42.0,101.0,1945.0,1.0,0.0,1.0
42.0,130.0,1945.0,1.0,0.0,1.0
42.0,135.0,1945.0,1.0,0.0,1.0
42.0,140.0,1945.0,1.0,0.0,1.0
42.0,145.0,1945.0,1.0,0.0,1.0
42.0,150.0,1945.0,1.0,0.0,1.0
42.0,155.0,1945.0,1.0,0.0,1.0
42.0,160.0,1945.0,1.0,0.0,1.0
42.0,165.0,1945.0,1.0,0.0,1.0
42.0,200.0,1945.0,1.0,0.0,1.0
42.0,210.0,1945.0,1.0,0.0,1.0
42.0,211.0,1945.0,1.0,0.0,1.0
42.0,212.0,1945.0,1.0,0.0,1.0
42.0,220.0,1945.0,1.0,0.0,1.0
42.0,290.0,1945.0,1.0,0.0,1.0
42.0,315.0,1945.0,1.0,0.0,1.0
42.0,345.0,1945.0,1.0,0.0,1.0
42.0,350.0,1945.0,1.0,0.0,1.0
42.0,365.0,1945.0,1.0,0.0,1.0
42.0,385.0,1945.0,1.0,0.0,1.0
42.0,450.0,1945.0,1.0,0.0,1.0
42.0,530.0,1945.0,1.0,0.0,1.0
42.0,560.0,1945.0,1.0,0.0,1.0
42.0,630.0,1945.0,1.0,0.0,1.0
42.0,640.0,1945.0,1.0,0.0,1.0
42.0,645.0,1945.0,1.0,0.0,1.0
42.0,651.0,1945.0,1.0,0.0,1.0
42.0,670.0,1945.0,1.0,0.0,1.0
42.0,710.0,1945.0,1.0,0.0,1.0
42.0,900.0,1945.0,1.0,0.0,1.0
42.0,920.0,1945.0,1.0,0.0,1.0
70.0,2.0,1945.0,1.0,0.0,1.0
70.0,20.0,1945.0,1.0,0.0,1.0
70.0,40.0,1945.0,1.0,0.0,1.0
70.0,41.0,1945.0,1.0,0.0,1.0
70.0,42.0,1945.0,1.0,0.0,1.0
70.0,90.0,1945.0,1.0,0.0,1.0
70.0,91.0,1945.0,1.0,0.0,1.0
70.0,92.0,1945.0,1.0,0.0,1.0
70.0,93.0,1945.0,1.0,0.0,1.0
70.0,94.0,1945.0,1.0,0.0,1.0
70.0,95.0,1945.0,1.0,0.0,1.0
70.0,100.0,1945.0,1.0,0.0,1.0
70.0,101.0,1945.0,1.0,0.0,1.0
70.0,130.0,1945.0,1.0,0.0,1.0
70.0,135.0,1945.0,1.0,0.0,1.0
70.0,140.0,1945.0,1.0,0.0,1.0
70.0,145.0,1945.0,1.0,0.0,1.0
70.0,150.0,1945.0,1.0,0.0,1.0
70.0,155.0,1945.0,1.0,0.0,1.0
70.0,160.0,1945.0,1.0,0.0,1.0
70.0,165.0,1945.0,1.0,0.0,1.0
70.0,200.0,1945.0,1.0,0.0,1.0
70.0,210.0,1945.0,1.0,0.0,1.0
70.0,211.0,1945.0,1.0,0.0,1.0
70.0,212.0,1945.0,1.0,0.0,1.0
70.0,220.0,1945.0,1.0,0.0,1.0
70.0,290.0,1945.0,1.0,0.0,1.0
70.0,315.0,1945.0,1.0,0.0,1.0
70.0,345.0,1945.0,1.0,0.0,1.0
70.0,350.0,1945.0,1.0,0.0,1.0
70.0,365.0,1945.0,1.0,0.0,1.0
70.0,385.0,1945.0,1.0,0.0,1.0
70.0,450.0,1945.0,1.0,0.0,1.0
70.0,530.0,1945.0,1.0,0.0,1.0
70.0,560.0,1945.0,1.0,0.0,1.0
70.0,630.0,1945.0,1.0,0.0,1.0
70.0,640.0,1945.0,1.0,0.0,1.0
70.0,645.0,1945.0,1.0,0.0,1.0
70.0,651.0,1945.0,1.0,0.0,1.0
70.0,670.0,1945.0,1.0,0.0,1.0
70.0,710.0,1945.0,1.0,0.0,1.0
70.0,900.0,1945.0,1.0,0.0,1.0
70.0,920.0,1945.0,1.0,0.0,1.0
90.0,2.0,1945.0,1.0,0.0,1.0
90.0,20.0,1945.0,1.0,0.0,1.0
90.0,40.0,1945.0,1.0,0.0,1.0
90.0,41.0,1945.0,1.0,0.0,1.0
90.0,42.0,1945.0,1.0,0.0,1.0
90.0,70.0,1945.0,1.0,0.0,1.0
90.0,91.0,1945.0,1.0,0.0,1.0
90.0,92.0,1945.0,1.0,0.0,1.0
90.0,93.0,1945.0,1.0,0.0,1.0
90.0,94.0,1945.0,1.0,0.0,1.0
90.0,95.0,1945.0,1.0,0.0,1.0
90.0,100.0,1945.0,1.0,0.0,1.0
90.0,101.0,1945.0,1.0,0.0,1.0
90.0,130.0,1945.0,1.0,0.0,1.0
90.0,135.0,1945.0,1.0,0.0,1.0
90.0,140.0,1945.0,1.0,0.0,1.0
90.0,145.0,1945.0,1.0,0.0,1.0
90.0,150.0,1945.0,1.0,0.0,1.0
90.0,155.0,1945.0,1.0,0.0,1.0
90.0,160.0,1945.0,1.0,0.0,1.0
90.0,165.0,1945.0,1.0,0.0,1.0
90.0,200.0,1945.0,1.0,0.0,1.0
90.0,210.0,1945.0,1.0,0.0,1.0
90.0,211.0,1945.0,1.0,0.0,1.0
90.0,212.0,1945.0,1.0,0.0,1.0
90.0,220.0,1945.0,1.0,0.0,1.0
90.0,290.0,1945.0,1.0,0.0,1.0
90.0,315.0,1945.0,1.0,0.0,1.0
90.0,345.0,1945.0,1.0,0.0,1.0
90.0,350.0,1945.0,1.0,0.0,1.0
90.0,365.0,1945.0,1.0,0.0,1.0
90.0,385.0,1945.0,1.0,0.0,1.0
90.0,450.0,1945.0,1.0,0.0,1.0
90.0,530.0,1945.0,1.0,0.0,1.0
90.0,560.0,1945.0,1.0,0.0,1.0
90.0,630.0,1945.0,1.0,0.0,1.0
90.0,640.0,1945.0,1.0,0.0,1.0
90.0,645.0,1945.0,1.0,0.0,1.0
90.0,651.0,1945.0,1.0,0.0,1.0
90.0,670.0,1945.0,1.0,0.0,1.0
90.0,710.0,1945.0,1.0,0.0,1.0
90.0,900.0,1945.0,1.0,0.0,1.0
90.0,920.0,1945.0,1.0,0.0,1.0
91.0,2.0,1945.0,1.0,0.0,1.0
91.0,20.0,1945.0,1.0,0.0,1.0
91.0,40.0,1945.0,1.0,0.0,1.0
91.0,41.0,1945.0,1.0,0.0,1.0
91.0,42.0,1945.0,1.0,0.0,1.0
91.0,70.0,1945.0,1.0,0.0,1.0
91.0,90.0,1945.0,1.0,0.0,1.0
91.0,92.0,1945.0,1.0,0.0,1.0
91.0,93.0,1945.0,1.0,0.0,1.0
91.0,94.0,1945.0,1.0,0.0,1.0
91.0,95.0,1945.0,1.0,0.0,1.0
91.0,100.0,1945.0,1.0,0.0,1.0
91.0,101.0,1945.0,1.0,0.0,1.0
91.0,130.0,1945.0,1.0,0.0,1.0
91.0,135.0,1945.0,1.0,0.0,1.0
91.0,140.0,1945.0,1.0,0.0,1.0
91.0,145.0,1945.0,1.0,0.0,1.0
91.0,150.0,1945.0,1.0,0.0,1.0
91.0,155.0,1945.0,1.0,0.0,1.0
91.0,160.0,1945.0,1.0,0.0,1.0
