Transfers of major conventional arms from All countries  to All countries . Deals with deliveries made for the year range '1950' to '1991' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 24 Dec 2025 8:08:58 AM
SIPRI AT Database ID,Supplier,Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
16144,Soviet Union,Afghanistan,T-62,tank,Armoured vehicles,1973,Yes,50,Yes,1975,No,New,1.8,1.8,90,No
16144,Soviet Union,Afghanistan,T-62,tank,Armoured vehicles,1973,Yes,50,Yes,1976,No,New,1.8,1.8,90,No
16146,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1978,Yes,50,Yes,1981,Yes,Second hand,1.25,0.5,25,No
16146,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1978,Yes,50,Yes,1983,Yes,Second hand,1.25,0.5,25,No
16146,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1978,Yes,50,Yes,1984,Yes,Second hand,1.25,0.5,25,No
16146,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1978,Yes,50,Yes,1985,Yes,Second hand,1.25,0.5,25,No
16146,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1978,Yes,50,Yes,1986,Yes,Second hand,1.25,0.5,25,No
16146,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1978,Yes,50,Yes,1987,Yes,Second hand,1.25,0.5,25,No
16146,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1978,Yes,50,Yes,1988,No,Second hand,1.25,0.5,25,No
16146,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1978,Yes,25,Yes,1990,No,Second hand,1.25,0.5,12.5,No
16146,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1978,Yes,25,Yes,1991,No,Second hand,1.25,0.5,12.5,No
16146,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1978,Yes,50,Yes,1982,Yes,Second hand,1.25,0.5,25,No
16146,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1978,Yes,25,Yes,1979,Yes,Second hand,1.25,0.5,12.5,No
16146,Soviet Union,Afghanistan,T-55,tank,Armoured vehicles,1978,Yes,25,Yes,1980,Yes,Second hand,1.25,0.5,12.5,No
16639,Soviet Union,Afghanistan,BM-13 132mm,multiple rocket launcher,Artillery,1960,Yes,25,Yes,1961,Yes,Second hand,0.2,0.08,2,No
16639,Soviet Union,Afghanistan,BM-13 132mm,multiple rocket launcher,Artillery,1960,Yes,25,Yes,1960,Yes,Second hand,0.2,0.08,2,No
2021,Soviet Union,Afghanistan,T-54,tank,Armoured vehicles,1961,Yes,16,Yes,1962,Yes,Second hand,1.1,0.44,7.04,No
2021,Soviet Union,Afghanistan,T-54,tank,Armoured vehicles,1961,Yes,17,Yes,1963,Yes,Second hand,1.1,0.44,7.48,No
2021,Soviet Union,Afghanistan,T-54,tank,Armoured vehicles,1961,Yes,17,Yes,1964,Yes,Second hand,1.1,0.44,7.48,No
32533,Soviet Union,Afghanistan,Kh-25M,anti-radar missile/ASM,Missiles,1988,Yes,100,Yes,1988,Yes,New,0.18,0.18,18,No
32533,Soviet Union,Afghanistan,Kh-25M,anti-radar missile/ASM,Missiles,1988,Yes,100,Yes,1989,Yes,New,0.18,0.18,18,No
2031,Soviet Union,Afghanistan,Il-18,transport aircraft,Aircraft,1969,Yes,1,No,1970,Yes,Second hand,19,7.6,7.6,No
2032,Soviet Union,Afghanistan,Il-18,transport aircraft,Aircraft,1967,Yes,1,No,1968,Yes,Second hand,19,7.6,7.6,No
19483,Soviet Union,Afghanistan,BTR-70,armoured personnel carrier,Armoured vehicles,1988,Yes,60,Yes,1988,No,New,0.27,0.27,16.2,No
19483,Soviet Union,Afghanistan,BTR-70,armoured personnel carrier,Armoured vehicles,1988,Yes,120,Yes,1989,No,New,0.27,0.27,32.4,No
19483,Soviet Union,Afghanistan,BTR-70,armoured personnel carrier,Armoured vehicles,1988,Yes,180,Yes,1990,No,New,0.27,0.27,48.6,No
19109,Soviet Union,Afghanistan,9P117 Uragan,surface-to-surface missile launcher,Artillery,1988,Yes,10,Yes,1988,No,New,1,1,10,No
19109,Soviet Union,Afghanistan,9P117 Uragan,surface-to-surface missile launcher,Artillery,1988,Yes,10,Yes,1989,Yes,New,1,1,10,No
19109,Soviet Union,Afghanistan,9P117 Uragan,surface-to-surface missile launcher,Artillery,1988,Yes,10,Yes,1990,Yes,New,1,1,10,No
18503,Soviet Union,Afghanistan,BTR-50,armoured personnel carrier,Armoured vehicles,1979,Yes,60,Yes,1979,Yes,Second hand,0.25,0.1,6,No
18503,Soviet Union,Afghanistan,BTR-50,armoured personnel carrier,Armoured vehicles,1979,Yes,60,Yes,1980,Yes,Second hand,0.25,0.1,6,No
18503,Soviet Union,Afghanistan,BTR-50,armoured personnel carrier,Armoured vehicles,1979,Yes,60,Yes,1981,Yes,Second hand,0.25,0.1,6,No
18503,Soviet Union,Afghanistan,BTR-50,armoured personnel carrier,Armoured vehicles,1979,Yes,60,Yes,1982,Yes,Second hand,0.25,0.1,6,No
18503,Soviet Union,Afghanistan,BTR-50,armoured personnel carrier,Armoured vehicles,1979,Yes,60,Yes,1983,Yes,Second hand,0.25,0.1,6,No
18503,Soviet Union,Afghanistan,BTR-50,armoured personnel carrier,Armoured vehicles,1979,Yes,60,Yes,1984,Yes,Second hand,0.25,0.1,6,No
18503,Soviet Union,Afghanistan,BTR-50,armoured personnel carrier,Armoured vehicles,1979,Yes,20,Yes,1985,Yes,Second hand,0.25,0.1,2,No
18503,Soviet Union,Afghanistan,BTR-50,armoured personnel carrier,Armoured vehicles,1979,Yes,60,Yes,1986,Yes,Second hand,0.25,0.1,6,No
18503,Soviet Union,Afghanistan,BTR-50,armoured personnel carrier,Armoured vehicles,1979,Yes,60,Yes,1987,Yes,Second hand,0.25,0.1,6,No
18503,Soviet Union,Afghanistan,BTR-50,armoured personnel carrier,Armoured vehicles,1979,Yes,60,Yes,1988,No,Second hand,0.25,0.1,6,No
16139,Soviet Union,Afghanistan,BTR-50,armoured personnel carrier,Armoured vehicles,1963,Yes,50,Yes,1965,Yes,New,0.25,0.25,12.5,No
16139,Soviet Union,Afghanistan,BTR-50,armoured personnel carrier,Armoured vehicles,1963,Yes,50,Yes,1966,Yes,New,0.25,0.25,12.5,No
2048,Soviet Union,Afghanistan,IL-14,transport aircraft,Aircraft,1955,Yes,1,No,1955,No,New,4,4,4,No
2022,Soviet Union,Afghanistan,PT-76,light tank,Armoured vehicles,1958,Yes,15,Yes,1959,Yes,New,0.9,0.9,13.5,No
2022,Soviet Union,Afghanistan,PT-76,light tank,Armoured vehicles,1958,Yes,20,Yes,1960,Yes,New,0.9,0.9,18,No
2022,Soviet Union,Afghanistan,PT-76,light tank,Armoured vehicles,1958,Yes,15,Yes,1961,Yes,New,0.9,0.9,13.5,No
2023,Soviet Union,Afghanistan,T-34-85,tank,Armoured vehicles,1957,Yes,25,Yes,1957,Yes,Second hand,0.95,0.38,9.5,No
2024,Soviet Union,Afghanistan,K-13A,short-range air-to-air missile,Missiles,1965,Yes,62,Yes,1966,Yes,New,0.04,0.04,2.48,No
2024,Soviet Union,Afghanistan,K-13A,short-range air-to-air missile,Missiles,1965,Yes,63,Yes,1967,Yes,New,0.04,0.04,2.52,No
