PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS,,,,,,,,,,,,,,
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Census Regions,East South Central,2002,40,1.08781,1.05021,42,X,37,31,X,4,114,27,10855
Census Regions,East South Central,2002,41,1.09422,1.00204,35,X,39,29,X,5,108,30,10778
Census Regions,East South Central,2002,42,0.700704,0.974258,33,X,30,39,X,7,109,29,11188
Census Regions,East South Central,2002,43,1.14446,0.958009,40,X,48,53,X,13,154,47,16075
Census Regions,East South Central,2002,44,1.10225,1.01022,44,X,55,64,X,7,170,47,16828
Census Regions,East South Central,2002,45,1.22415,1.08155,49,X,59,47,X,8,163,46,15071
Census Regions,East South Central,2002,46,1.09451,1.11933,35,X,64,64,X,5,168,47,15009
Census Regions,East South Central,2002,47,0.85768,0.81007,40,X,44,36,X,10,130,47,16048
Census Regions,East South Central,2002,48,0.764516,0.781669,19,X,44,32,X,7,102,48,13049
Census Regions,East South Central,2002,49,0.996198,0.840027,19,X,53,34,X,8,114,50,13571
Census Regions,East South Central,2002,50,0.991719,1.16613,43,X,69,64,X,15,191,50,16379
Census Regions,East South Central,2002,51,1.00955,1.18821,46,X,62,62,X,17,187,49,15738
Census Regions,East South Central,2002,52,1.26673,1.75589,52,X,79,45,X,8,184,46,10479
Census Regions,East South Central,2003,1,1.67795,3.15765,106,X,147,130,X,31,414,55,13111
Census Regions,East South Central,2003,2,1.12344,1.83204,84,X,123,101,X,26,334,57,18231
Census Regions,East South Central,2003,3,1.39457,2.33214,93,X,129,193,X,15,430,58,18438
Census Regions,East South Central,2003,4,2.33886,3.38533,132,X,158,375,X,23,688,58,20323
Census Regions,East South Central,2003,5,3.14452,4.24715,148,X,248,578,X,33,1007,57,23710
Census Regions,East South Central,2003,6,3.34946,4.41365,135,X,155,508,X,30,828,56,18760
Census Regions,East South Central,2003,7,2.5744,3.22773,115,X,134,379,X,23,651,55,20169
Census Regions,East South Central,2003,8,2.82768,3.86029,153,X,224,413,X,29,819,58,21216
Census Regions,East South Central,2003,9,1.60402,1.78343,78,X,147,137,X,14,376,54,21083
Census Regions,East South Central,2003,10,1.53714,2.01228,54,X,109,125,X,20,308,52,15306
Census Regions,East South Central,2003,11,1.04505,1.24853,54,X,79,72,X,7,212,51,16980
Census Regions,East South Central,2003,12,0.799185,0.992063,50,X,61,41,X,8,160,44,16128
Census Regions,East South Central,2003,13,0.88912,1.29253,37,X,45,45,X,9,136,41,10522
Census Regions,East South Central,2003,14,1.05052,1.7898,30,X,51,47,X,5,133,33,7431
Census Regions,East South Central,2003,15,0.937757,1.69193,37,X,40,51,X,16,144,32,8511
Census Regions,East South Central,2003,16,0.622457,1.32325,39,X,23,35,X,8,105,30,7935
Census Regions,East South Central,2003,17,0.692667,1.51029,38,X,33,35,X,7,113,28,7482
Census Regions,East South Central,2003,18,0.753724,1.21951,23,X,29,32,X,11,95,27,7790
Census Regions,East South Central,2003,19,0.430512,0.892381,21,X,19,24,X,3,67,28,7508
Census Regions,East South Central,2003,20,0.510291,0.889558,20,X,26,15,X,4,65,28,7307
Census Regions,East South Central,2003,21,0.579303,1.34148,31,X,18,24,X,6,79,23,5889
Census Regions,East South Central,2003,22,0.510134,1.30874,31,X,25,24,X,3,83,22,6342
Census Regions,East South Central,2003,23,0.450914,1.52683,28,X,33,36,X,6,103,22,6746
Census Regions,East South Central,2003,24,0.573115,1.82953,39,X,35,50,X,5,129,22,7051
Census Regions,East South Central,2003,25,0.279074,0.918555,15,X,25,15,X,5,60,22,6532
Census Regions,East South Central,2003,26,0.246446,0.649606,13,X,10,6,X,4,33,20,5080
Census Regions,East South Central,2003,27,0.108342,0.242277,3,X,4,3,X,2,12,20,4953
Census Regions,East South Central,2003,28,0.21579,1.01573,13,X,20,14,X,4,51,20,5021
Census Regions,East South Central,2003,29,0.302489,1.41972,20,X,26,17,X,8,71,20,5001
Census Regions,East South Central,2003,30,0.381667,1.80161,27,X,31,19,X,8,85,20,4718
Census Regions,East South Central,2003,31,0.279448,1.26068,11,X,32,11,X,8,62,18,4918
Census Regions,East South Central,2003,32,0.305617,1.2888,22,X,27,13,X,9,71,19,5509
Census Regions,East South Central,2003,33,0.399424,1.89734,20,X,37,24,X,14,95,19,5007
Census Regions,East South Central,2003,34,0.301019,1.3844,34,X,30,19,X,7,90,21,6501
Census Regions,East South Central,2003,35,0.406662,1.60245,37,X,24,24,X,9,94,20,5866
Census Regions,East South Central,2003,36,0.456445,2.02989,35,X,34,29,X,12,110,20,5419
Census Regions,East South Central,2003,37,0.225519,1.08733,20,X,24,13,X,7,64,19,5886
Census Regions,East South Central,2003,38,0.0445655,0.207641,6,X,1,3,X,0,10,17,4816
Census Regions,East South Central,2003,39,0.035522,0.163208,3,X,1,3,X,0,7,16,4289
Census Regions,East South Central,2003,40,1.80065,2.64169,198,X,165,223,X,26,612,74,23167
Census Regions,East South Central,2003,41,1.58576,2.61049,213,X,197,286,X,37,733,87,28079
Census Regions,East South Central,2003,42,1.78032,2.65814,232,X,248,254,X,43,777,93,29231
Census Regions,East South Central,2003,43,1.40799,2.78038,318,X,279,312,X,40,949,99,34132
Census Regions,East South Central,2003,44,1.92895,3.21431,328,X,327,425,X,47,1127,100,35062
Census Regions,East South Central,2003,45,2.05122,3.81992,381,X,338,416,X,41,1176,100,30786
Census Regions,East South Central,2003,46,2.35889,4.60769,469,X,408,563,X,34,1474,98,31990
Census Regions,East South Central,2003,47,2.93271,4.73082,417,X,437,728,X,56,1638,102,34624
Census Regions,East South Central,2003,48,4.09099,6.15899,496,X,397,592,X,80,1565,96,25410
Census Regions,East South Central,2003,49,5.33687,7.36908,757,X,877,1047,X,125,2806,104,38078
Census Regions,East South Central,2003,50,6.70879,9.32196,940,X,882,1341,X,160,3323,95,35647
Census Regions,East South Central,2003,51,7.1639,9.85267,754,X,1037,1302,X,204,3297,94,33463
Census Regions,East South Central,2003,52,5.6269,10.0067,576,X,757,578,X,188,2099,86,20976
Census Regions,East South Central,2003,53,3.86553,6.39891,385,X,525,266,X,140,1316,86,20566
Census Regions,East South Central,2004,1,2.36994,3.83152,239,X,397,287,X,94,1017,89,26543
Census Regions,East South Central,2004,2,1.29552,2.40997,210,X,222,213,X,47,692,92,28714
Census Regions,East South Central,2004,3,1.07148,2.13056,192,X,161,159,X,35,547,87,25674
